Variable	Description	Mapping
SID_LCC	Subject identification number	
Sex	Sex of the Child	"1: ""Male"", 2: ""Female"""
DOB	Date of birth of the child	
DOI	Date of interview	
Member	Members in household	
Child	Number of living children (less than 19 years old) 	
B_Order	Birth order of enrolled child among live births	
Sibl_5Y	Number of siblings under 5 years, excluding enrolled child	
Mem_Mob	Number of mobile phne users in household	
Ethnicit	Ethnicity	"1: ""Bengali"", 2: ""Bihari"", 3: ""Others"""
Other_Et	Specify Other Ethnicity	"99: """""
Live_Cur	Number of years lived in current household	
Cur_Room	Number of rooms in current household	
Sleep_Hh	Number of people usually sleeping in household	
Fam_Type	Family type	"1: ""Nuclear"", 2: ""Joint"""
Lan	Language	"1: ""Bangali"", 2: ""Urdu"", 3: ""Others"""
OtherLan	Other Language	"99: """""
Maid	Maid working in household	"1: ""Yes"", 2: ""No"""
Fath_Edu	Father’s Educational attainment	
Years_of_Father_Education	Years of father's education	
Moth_Edu	Mother’s Educational attainment	
Years_of_Mother_Education	Years of mother's education	
Fath_Occ	Father’s occupation	"1: ""Dependent (< 5 years)"", 2: ""Student"", 3: ""Housewife"", 4: ""Government Service"", 5: ""Private Service / NGO Service"", 6: ""Small Businessman (Up to 10,000 Tk./ Month)"", 7: ""Medium Businessman (10,001 – 30,000 Tk./ Month)"", 8: ""Businessman (> 30,000 Tk./ Month)"", 9: ""Landlord / House owner"", 10: ""Contractor (Construction work)"", 11: ""Home skill worker (Shari made, Embroidery, Karchupi etc.)"", 12: ""Skilled labourer (Radio, TV, Fan, Plumber, Mason, Painter, Electrician/Lineman, Gas, Phone, WASA, Industry worker etc.)"", 13: ""Daily labourer (unskilled labourer)"", 14: ""Rickshaw /Push cart puller/van"", 15: ""Garments worker"", 16: ""Farmer"", 17: ""Hawker"", 18: ""Driver"", 19: ""Helper"", 20: ""Sweeper"", 21: ""Barber"", 22: ""Cobbler"", 23: ""Beggar"", 24: ""Tailor"", 25: ""Cook"", 26: ""Teacher (School, College, University)"", 27: ""Clergy (Imam, Muarzin, Moulana, Huzur, Padri etc)"", 28: ""Doctor (MBBS, MD, FCPS, FRCP etc.)"", 29: ""Engineer (B. Sc., M.Sc., PhD etc.)"", 30: ""Lawyer"", 31: ""Servant"", 32: ""Retired person"", 33: ""Unemployed"", 77: ""Other (Specify)"", 99: """""
OFO	Other father’s occupation	"1: ""Dependent (< 5 years)"", 2: ""Student"", 3: ""Housewife"", 4: ""Government Service"", 5: ""Private Service / NGO Service"", 6: ""Small Businessman (Up to 10,000 Tk./ Month)"", 7: ""Medium Businessman (10,001 – 30,000 Tk./ Month)"", 8: ""Businessman (> 30,000 Tk./ Month)"", 9: ""Landlord / House owner"", 10: ""Contractor (Construction work)"", 11: ""Home skill worker (Shari made, Embroidery, Karchupi etc.)"", 12: ""Skilled labourer (Radio, TV, Fan, Plumber, Mason, Painter, Electrician/Lineman, Gas, Phone, WASA, Industry worker etc.)"", 13: ""Daily labourer (unskilled labourer)"", 14: ""Rickshaw /Push cart puller/van"", 15: ""Garments worker"", 16: ""Farmer"", 17: ""Hawker"", 18: ""Driver"", 19: ""Helper"", 20: ""Sweeper"", 21: ""Barber"", 22: ""Cobbler"", 23: ""Beggar"", 24: ""Tailor"", 25: ""Cook"", 26: ""Teacher (School, College, University)"", 27: ""Clergy (Imam, Muarzin, Moulana, Huzur, Padri etc)"", 28: ""Doctor (MBBS, MD, FCPS, FRCP etc.)"", 29: ""Engineer (B. Sc., M.Sc., PhD etc.)"", 30: ""Lawyer"", 31: ""Servant"", 32: ""Retired person"", 33: ""Unemployed"", 77: ""Other (Specify)"", 99: """""
Moth_Occ	Mother’s occupation	"1: ""Dependent (< 5 years)"", 2: ""Student"", 3: ""Housewife"", 4: ""Government Service"", 5: ""Private Service / NGO Service"", 6: ""Small Businessman (Up to 10,000 Tk./ Month)"", 7: ""Medium Businessman (10,001 – 30,000 Tk./ Month)"", 8: ""Businessman (> 30,000 Tk./ Month)"", 9: ""Landlord / House owner"", 10: ""Contractor (Construction work)"", 11: ""Home skill worker (Shari made, Embroidery, Karchupi etc.)"", 12: ""Skilled labourer (Radio, TV, Fan, Plumber, Mason, Painter, Electrician/Lineman, Gas, Phone, WASA, Industry worker etc.)"", 13: ""Daily labourer (unskilled labourer)"", 14: ""Rickshaw /Push cart puller/van"", 15: ""Garments worker"", 16: ""Farmer"", 17: ""Hawker"", 18: ""Driver"", 19: ""Helper"", 20: ""Sweeper"", 21: ""Barber"", 22: ""Cobbler"", 23: ""Beggar"", 24: ""Tailor"", 25: ""Cook"", 26: ""Teacher (School, College, University)"", 27: ""Clergy (Imam, Muarzin, Moulana, Huzur, Padri etc)"", 28: ""Doctor (MBBS, MD, FCPS, FRCP etc.)"", 29: ""Engineer (B. Sc., M.Sc., PhD etc.)"", 30: ""Lawyer"", 31: ""Servant"", 32: ""Retired person"", 33: ""Unemployed"", 77: ""Other (Specify)"", 99: """""
OMO	Other mother’s occupation	"1: ""Dependent (< 5 years)"", 2: ""Student"", 3: ""Housewife"", 4: ""Government Service"", 5: ""Private Service / NGO Service"", 6: ""Small Businessman (Up to 10,000 Tk./ Month)"", 7: ""Medium Businessman (10,001 – 30,000 Tk./ Month)"", 8: ""Businessman (> 30,000 Tk./ Month)"", 9: ""Landlord / House owner"", 10: ""Contractor (Construction work)"", 11: ""Home skill worker (Shari made, Embroidery, Karchupi etc.)"", 12: ""Skilled labourer (Radio, TV, Fan, Plumber, Mason, Painter, Electrician/Lineman, Gas, Phone, WASA, Industry worker etc.)"", 13: ""Daily labourer (unskilled labourer)"", 14: ""Rickshaw /Push cart puller/van"", 15: ""Garments worker"", 16: ""Farmer"", 17: ""Hawker"", 18: ""Driver"", 19: ""Helper"", 20: ""Sweeper"", 21: ""Barber"", 22: ""Cobbler"", 23: ""Beggar"", 24: ""Tailor"", 25: ""Cook"", 26: ""Teacher (School, College, University)"", 27: ""Clergy (Imam, Muarzin, Moulana, Huzur, Padri etc)"", 28: ""Doctor (MBBS, MD, FCPS, FRCP etc.)"", 29: ""Engineer (B. Sc., M.Sc., PhD etc.)"", 30: ""Lawyer"", 31: ""Servant"", 32: ""Retired person"", 33: ""Unemployed"", 77: ""Other (Specify)"", 99: """""
Own_Hous	Family own’s the home they live in	"1: ""Yes"", 2: ""No"""
Inc_HH	Household head’s income (taka)	
Inc_Moth	Mother’s income (taka)	
Inc_OM	Other member’s income (taka)	
Inc_OS	Other sources income (taka)  	
T_Income	Total monthly Income (taka)	
H_Rent	House rent (taka)	
Fam_Exp	Family expenditure (food, clothes, utility bills i.e. electricity, gas, water) (taka) 	
Oth_Exp	Other expenditure (festivals, medical, education, gifts) (taka)	
Expend	Monthly total expenditure (taka)	
Floor	Household - Principal type of flooring	"1: ""Earth/Sand/Clay/Mud/Dung"", 2: ""Wood"", 3: ""Ceramic Tiles"", 4: ""Cement/Concrete"""
