Sample	raw pair1	raw pair2	trimmed pair1	trimmed pair2	trimmed orphan1	trimmed orphan2	decontaminated hg37dec_v0.1 pair1	decontaminated hg37dec_v0.1 pair2	decontaminated hg37dec_v0.1 orphan1	decontaminated hg37dec_v0.1 orphan2	final pair1	final pair2	final orphan1	final orphan2
C101	24031228.0	24031228.0	23389438.0	23389438.0	434032.0	154543.0	22104003.0	22104003.0	564899.0	337167.0	22104003.0	22104003.0	564899.0	337167.0
C103	23039259.0	23039259.0	22485873.0	22485873.0	342267.0	156638.0	20814065.0	20814065.0	486044.0	317793.0	20814065.0	20814065.0	486044.0	317793.0
C104	25231096.0	25231096.0	24364146.0	24364146.0	615652.0	168374.0	22920587.0	22920587.0	656671.0	296038.0	22920587.0	22920587.0	656671.0	296038.0
C105	24610517.0	24610517.0	23949863.0	23949863.0	419474.0	170212.0	22368625.0	22368625.0	487524.0	275391.0	22368625.0	22368625.0	487524.0	275391.0
C106	23801210.0	23801210.0	23212522.0	23212522.0	377129.0	158852.0	21678444.0	21678444.0	495875.0	303340.0	21678444.0	21678444.0	495875.0	303340.0
C107	42314870.0	42314870.0	18922935.0	18922935.0	17567643.0	473946.0	10825047.0	10825047.0	5855357.0	126067.0	10825047.0	10825047.0	5855357.0	126067.0
C108	23327323.0	23327323.0	22620026.0	22620026.0	505593.0	152802.0	19703151.0	19703151.0	469081.0	176938.0	19703151.0	19703151.0	469081.0	176938.0
C109	23349166.0	23349166.0	21079537.0	21079537.0	1921334.0	196048.0	11189542.0	11189542.0	1296596.0	169128.0	11189542.0	11189542.0	1296596.0	169128.0
C110	27777154.0	27777154.0	20913013.0	20913013.0	6032258.0	217348.0	13816235.0	13816235.0	4352555.0	202345.0	13816235.0	13816235.0	4352555.0	202345.0
C111	24524125.0	24524125.0	23809585.0	23809585.0	485213.0	162707.0	22152190.0	22152190.0	594491.0	313517.0	22152190.0	22152190.0	594491.0	313517.0
C112	24473952.0	24473952.0	23874231.0	23874231.0	383302.0	169923.0	22514816.0	22514816.0	383550.0	210265.0	22514816.0	22514816.0	383550.0	210265.0
