		diff	MWW_pval	MWW_qval
Occipital	Delta	-0.0020694592748664586	0.8460127011809644	0.8460127011809644
Temporal	Delta	-0.0036031455717340233	0.6644829888313591	0.7594091300929818
Frontal	Delta	-0.009106122548510731	0.741283383260243	0.8086727817384469
Parietal	Delta	0.008174569175554147	0.8358883154111385	0.8460127011809644
Frontal	Low-Alpha	-0.06248260801543137	0.08684677906366471	0.18948388159345028
Frontal	High-Alpha	-0.07247706780748656	0.018614696648340742	0.06382181708002539
Frontal	Theta	-0.02425312727608886	0.511134767445866	0.6456439167737255
Frontal	Beta	-0.12638498571703594	0.00263845417084969	0.019144896893974857
Frontal	Gamma	-0.12575634692513366	0.003190816148995809	0.019144896893974857
Parietal	Theta	-0.03409449918686014	0.4546397055841469	0.6061862741121958
Parietal	Low-Alpha	-0.06356062272009178	0.10839345460860138	0.21678690921720276
Parietal	High-Alpha	-0.06273237035599699	0.031872748458963394	0.08499399589056905
Parietal	Beta	-0.04012705427776925	0.23871781412827053	0.38194850260523283
Parietal	Gamma	-0.016076583456531623	0.30792098947955715	0.4618814842193357
Temporal	Theta	-0.03462004730649326	0.3299181098044738	0.46576674325337475
Temporal	Low-Alpha	-0.07498831128739503	0.030355250682137097	0.08499399589056905
Temporal	High-Alpha	-0.08261372573170356	0.004305532032920245	0.020666553758017174
Temporal	Beta	-0.1371118629566081	0.00029975324878609236	0.005882712853027896
Temporal	Gamma	-0.1481463954498089	0.0004902260710856579	0.005882712853027896
Occipital	Theta	-0.018156915332773194	0.5732957225610043	0.6879548670732051
Occipital	Low-Alpha	-0.041963599454392764	0.21151609895610757	0.36259902678189865
Occipital	High-Alpha	-0.07454324457280348	0.009887616031975442	0.039550464127901766
Occipital	Beta	-0.05893526937158142	0.04442515623893244	0.10662037497343785
Occipital	Gamma	-0.039500585697173296	0.15912782963055816	0.2937744547025689
