Sample_Name	Methanobacteria	Actinobacteria	Coriobacteriia	Bacteroidetes_unclassified	Bacteroidia	Sphingobacteriia	Candidatus_Saccharibacteria_unclassified	Deinococci	Bacilli	Clostridia	Erysipelotrichia	Firmicutes_unclassified	Negativicutes	Tissierellia	Fusobacteriia	Lentisphaerae_unclassified	Lentisphaeria	Alphaproteobacteria	Betaproteobacteria	Deltaproteobacteria	Epsilonproteobacteria	Gammaproteobacteria	Proteobacteria_unclassified	Spirochaetia	Synergistia	Mollicutes	Verrucomicrobiae	Conoidasida	Saccharomycetes	Tremellomycetes	Eukaryota_unclassified
LCC11561001	0.0	0.58767726109157	0.004245875378506024	0.0	0.059743539094418076	0.0	0.0	0.0	0.2396028130699751	0.0031935477924641157	0.0	0.0	0.007613182631669126	0.0	0.0	0.0	0.0	0.0	0.001941774564576418	0.0	0.0	0.07779729815622577	0.0	0.01818470822059534	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LCC10981001	0.0	0.07386765518765545	0.005188933362533257	0.0	0.7252020232139396	0.0	0.0	0.0	0.025093425556982702	0.054886268134480685	0.0013290308548645176	0.0	0.08070504786164849	0.0	0.0026617701668655356	0.0	0.0	0.0	0.0098557760973901	0.0	0.015915495287002007	0.0014847860545975087	0.0	0.0	0.0	0.0	0.0038097882220403632	0.0	0.0	0.0	0.0
LCC11311001	0.0008812474921866414	0.02339243215190799	0.004245837593380823	0.0	0.3474644848544354	0.0	0.0	0.0	0.011512121911914322	0.25359259134952794	0.004706899548706305	0.14684362415535843	0.043750691918541695	0.0	0.0	0.0	0.0001322472362080885	0.0	0.007713119677236594	0.014906267266655011	0.0	0.019299179816667258	0.0	0.022889091155915982	0.0	0.09693542076912788	0.0	0.0	0.0	0.0	0.0017347431022296164
LCC11411001	0.0	0.7255710453520652	0.0	0.0	0.0022403157270326902	0.0	0.0	0.0	0.2087965706382533	0.006275469759300691	0.0	0.0	0.008919423049730693	0.0	0.0	0.0	0.0	0.0	0.0001464904044713047	0.0	0.0	0.048050685069146226	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LCC11431001	0.0	0.6928926841079925	2.216760676711683e-05	0.0	0.17721256287425394	0.0	0.0	0.0	0.007770598772135257	0.01323676949961994	0.0008133806483011882	0.0	0.008913283732728074	0.0	0.0	0.0	0.0	0.0	0.00831756691557913	0.0	0.0	0.09082098584262283	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LCC10911001	0.0	0.6371488798941106	0.017839335164413207	0.0	0.19812479953741144	0.0	1.0446641941064983e-05	0.0	0.004787667767422739	0.05038175417752741	0.0026626231574382337	0.0	0.014306534967451653	0.0	0.0	0.0	0.0	0.0	0.00286379160022226	0.003065242384680367	0.0	0.06776934266340807	0.0	0.0	0.001039582043973021	0.0	0.0	0.0	0.0	0.0	0.0
LCC11231001	0.0	0.5202948926136378	0.0	0.0	0.00012725388812691034	0.0	0.0	0.0	0.3972764263824243	0.0	0.0	0.0	0.005015565323145279	0.0	0.0	0.0	0.0	0.0	0.0024013038968024023	0.0	0.00022627363270402798	0.07465828426315943	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LCC10931001	0.0	0.27755990901624367	0.006970410261635349	0.0	0.011871806825863553	0.0	0.0	0.0	0.219174628479325	0.020252553388300187	0.0005248600923569584	0.0	0.2732704488754843	0.0	0.0	0.0	0.0	0.0	0.03875176980140792	0.0	0.0	0.1516236132593832	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LCC10941001	0.0	0.09817238814933696	0.00010426702580864282	0.0	0.10252016979169597	0.0	0.0	0.0	0.2872790395166917	0.04087816858035844	0.007323608559096148	0.0	0.01743648783679144	0.0	0.0009910478580537315	0.0	0.0	0.0	0.0	0.0	0.23376079406495737	0.2115340286172097	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LCC11421001	0.0	0.3108764065762276	0.005088098253595598	0.0	0.3264795870487105	0.0	0.0	0.0	0.014234703821908942	0.0680423354479267	0.0005548501563686833	0.0	0.05531607409124487	0.0	0.0	0.0	0.0	0.0	0.12472006837069365	0.0	0.0	0.0946878762333234	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
