source,target,weight
CE 20:4,SM 40:2;O2,-0.937120050353587
CE 20:4,PC 40:5.1,-0.936855050732678
CE 20:4,PE P-38:2,-0.9350902930107072
CE 20:4,SM 42:4;O2,-0.92329361228495
DG 48:12,ST 27:1;O.1,-0.8623370429622619
CE 20:4,PC 40:2,-0.8548594394378644
CE 20:4,PE P-42:6,-0.8199858934717422
Cer 42:2;O3,PC 40:5.1,-0.8024688531768771
TG 44:3,TG 50:5,0.800031658631298
PE O-36:4,PE O-38:6,0.8000727173600339
PI 36:4,PI 38:5,0.8001895724485298
TG 50:3,TG 53:5,0.8002670249576205
DG 30:2,TG 48:5,0.8003074189964353
TG 42:1,TG 47:2,0.8003101252310567
TG 52:7,TG 56:7,0.8004283503774414
DG 36:4,TG 56:8,0.8005388373677331
TG 40:2,TG 50:4,0.8005598224289222
TG 48:5,TG 49:4,0.8006441544381344
TG 36:0,TG 43:1,0.8006645507360127
CE 22:6,PC 38:6,0.8007575956399935
TG 49:1,TG 50:2,0.800791396510288
FA 18:3,FA 22:6,0.800898192350924
TG 52:1,TG 55:2,0.8009013339247852
DG 36:4,TG 50:5,0.8011507515573715
TG 54:2,TG 54:4,0.8012507043033875
PC 38:6.1,PC 40:6.1,0.801316029426416
TG 40:3,TG 49:4,0.801408476497316
TG 54:7;O,TG 56:9;O,0.8014278690212387
TG 58:10,TG 58:7,0.8015754128426827
PC 33:2,PC 35:4,0.8017083158840455
TG 50:6,TG 54:6,0.8019031564939482
DG 51:11,TG 44:3,0.8019534445544931
TG 52:1,TG 54:0,0.8020012689032072
TG 51:3,TG 51:5,0.8020670143953572
TG 36:1,TG 41:1,0.8021577431223266
TG 40:1,TG 47:3,0.802206528978833
NAGly 39:5;O2,TG 58:4,0.8022694239683466
TG 36:0,TG 46:2,0.8023039238166146
TG 36:0,TG 42:0,0.8025476125259898
PE O-40:8,PE P-38:6,0.8025612367420134
DG 51:8,TG 45:1,0.8026530492231766
DG 47:6.1,TG 41:1,0.8026808544587796
TG 56:9,TG 58:7,0.8026952453081049
FA 22:3,FA 24:5,0.8027693171489735
PE O-40:7,PE P-36:4,0.8028132005292962
TG 40:3,TG 42:3,0.802815467295058
FA 18:2,FA 24:2,0.8028982290180308
TG 43:0,TG 45:1,0.8029006282963809
DG 36:1,TG 50:0,0.8029140539364881
DG 36:2,TG 52:3,0.8030021436251702
FA 17:2,FA 22:5,0.8030304958671074
TG 40:1,TG 48:3,0.8031346889679317
PC O-38:7,PC O-38:8,0.8033095488961032
TG 49:1,TG 50:1,0.8033124756474301
TG 51:5,TG 54:8,0.8033474519272928
FA 14:0,FA 22:4,0.8034104035628647
DG 51:8,DG 51:9,0.8034511399631378
TG 56:4,TG 56:6,0.8034585780560852
TG 58:5,TG 60:7,0.8034625343854869
TG 60:4,TG 62:5,0.8034719289607483
DG 32:1,DG 34:1,0.8035833225101913
PC 40:5.1,PC O-42:7,0.8038062782151414
TG 38:2,TG 42:4,0.8038840552033477
TG 42:0,TG 46:0,0.8039451288855972
CE 22:4,PE P-42:6,0.8040554352829857
PC O-40:6,PC O-40:7,0.8041013588256166
DG 49:8,TG 46:1,0.804107384412581
TG 56:5,TG 56:7,0.8041144555680261
DG 51:8,TG 43:1,0.8041253245093228
TG 46:0,TG 49:5,0.8041578738905064
TG 50:7,TG 60:5,0.8041687519008741
CE 22:6,PC 38:6.1,0.8042578971501061
DG 51:10,TG 48:3,0.8042897830643416
TG 52:1,TG 52:3,0.8043000906131232
TG 42:3,TG 48:3,0.8044168705322008
TG 48:3,TG 49:3,0.8044270821622215
TG 56:3,TG 57:3,0.8044358418934966
FA 12:0,FA 22:2,0.8044769754670781
LPC 16:0,LPC 18:0/0:0,0.8047102386861141
TG 47:4,TG 50:7,0.8047327429112555
SM 42:1;O2,SM 44:5;O2,0.8048440230727161
LPC 18:0/0:0,LPC 20:2/0:0,0.8050277791995981
PE O-38:6,PE O-40:7,0.8051812019278051
