Sample_Name	Methanobrevibacter	Actinobaculum	Actinomyces	Varibaculum	Aeriscardovia	Bifidobacterium	Parascardovia	Scardovia	Corynebacterium	Mycobacteroides	Brevibacterium	Brachybacterium	Janibacter	Leifsonia	Kocuria	Micrococcus	Rothia	Tropheryma	Micropruina	Cutibacterium	Pseudopropionibacterium	Tessaracoccus	Atopobium	Olsenella	Collinsella	Enorma	Senegalimassilia	Cryptobacterium	Eggerthella	Enteroscipio	Gordonibacter	Paraeggerthella	Slackia	Bacteroidetes_unclassified	Bacteroides	Barnesiella	Coprobacter	Butyricimonas	Odoribacter	Porphyromonas	Alloprevotella	Paraprevotella	Prevotella	Alistipes	Parabacteroides	Pedobacter	Sphingobacterium	Candidatus_Saccharibacteria_unclassified	Deinococcus	Anoxybacillus	Bacillus	Geobacillus	Gemella	Listeria	Macrococcus	Staphylococcus	Abiotrophia	Aerococcus	Dolosigranulum	Granulicatella	Enterococcus	Vagococcus	Lactobacillus	Pediococcus	Leuconostoc	Weissella	Lactococcus	Streptococcus	Catabacter	Christensenella	Butyricicoccus	Clostridium	Hungatella	Clostridiales_Family_XIII_Incertae_Sedis_unclassified	Mogibacterium	Clostridiales_unclassified	Intestinimonas	Eubacterium	Pseudoramibacter	Anaerostipes	Anaerotignum	Blautia	Butyrivibrio	Coprococcus	Dorea	Eisenbergiella	Fusicatenibacter	Lachnoclostridium	Lachnospira	Lachnospiraceae_unclassified	Mediterraneibacter	Oribacterium	Robinsoniella	Roseburia	Sellimonas	Stomatobaculum	Tyzzerella	Oscillibacter	Peptococcus	Clostridioides	Intestinibacter	Paeniclostridium	Paraclostridium	Peptostreptococcaceae_unclassified	Peptostreptococcus	Romboutsia	Agathobaculum	Anaerofilum	Anaeromassilibacillus	Anaerotruncus	Faecalibacterium	Flavonifractor	Gemmiger	Pseudoflavonifractor	Ruminococcaceae_unclassified	Ruminococcus	Ruthenibacterium	Subdoligranulum	Catenibacterium	Coprobacillus	Dielma	Erysipelatoclostridium	Erysipelotrichaceae_unclassified	Faecalicoccus	Faecalitalea	Holdemanella	Massiliomicrobiota	Solobacterium	Turicibacter	Firmicutes_unclassified	Acidaminococcus	Phascolarctobacterium	Megamonas	Mitsuokella	Allisonella	Anaeroglobus	Dialister	Megasphaera	Negativicoccus	Veillonella	Anaerococcus	Finegoldia	Parvimonas	Peptoniphilus	Tissierellia_unclassified	Cetobacterium	Fusobacterium	Leptotrichia	Lentisphaerae_unclassified	Victivallis	Victivallales_unclassified	Brevundimonas	Paracoccus	Acetobacter	Azospirillum	Alcaligenes	Bordetella	Lautropia	Comamonas	Delftia	Melaminivora	Mesosutterella	Parasutterella	Sutterella	Turicimonas	Eikenella	Kingella	Morococcus	Neisseria	Thauera	Bilophila	Desulfovibrio	Desulfovibrionaceae_unclassified	Lawsonia	Arcobacter	Campylobacter	Helicobacter	Aeromonas	Anaerobiospirillum	Succinatimonas	Phytobacter	Plesiomonas	Citrobacter	Cronobacter	Enterobacter	Escherichia	Franconibacter	Klebsiella	Kluyvera	Kosakonia	Leclercia	Lelliottia	Metakosakonia	Pseudocitrobacter	Raoultella	Salmonella	Pantoea	Edwardsiella	Morganella	Proteus	Providencia	Serratia	Aggregatibacter	Haemophilus	Acinetobacter	Moraxella	Pseudomonas	Vibrio	Lysobacter	Stenotrophomonas	Xanthomonadaceae_unclassified	Proteobacteria_unclassified	Brachyspira	Treponema	Cloacibacillus	Pyramidobacter	Acholeplasma	Mycoplasma	Akkermansia	Cryptosporidium	Candida	Saccharomyces	Cryptococcus	Entamoeba	Blastocystis	Giardia
LCC11561001	0.0	0.0	0.0	0.0	0.0	0.5864275857845249	0.0	0.0	9.629797736977381e-05	0.0	0.0	0.0	2.014602037023332e-06	0.0	1.8131418333205163e-06	0.0007601093485693646	0.00038942257375684634	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004117947293780047	0.0	0.00012792722935105799	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00428304393071421	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.055460583857860166	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.439425499966213e-05	0.0	0.0	0.0	0.0	0.00015975794153604657	0.0	0.0	3.404677442571473e-05	0.0	0.23087853067820877	0.0	0.0	0.0	0.0007552743036805066	0.007720861576794768	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0027977785789178554	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5759186157184646e-05	0.0	0.0	0.0	0.00034379183761823977	0.0	0.0	0.0	0.0	0.0	0.0	1.621754639804691e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.786436873099914e-05	0.0	0.005542673854363815	0.001451621497778045	0.0	0.0005410213770429441	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00019974779197098392	0.0	0.0	0.0	0.0	0.0	0.0017126131916745757	0.0	0.0	0.0	0.0	2.9413189740558017e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.823214843507185e-05	0.0	0.0	0.0	0.0	0.0	0.0	6.839573915698289e-05	0.06582833032099965	0.0	0.00010133448246233454	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0021417234255608074	0.0	0.0	0.0	0.0	0.0083100319425226	0.0012737321379087756	5.54015560181746e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.018184704557100324	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LCC10981001	0.0	0.0	0.0	0.0	0.0	0.07386765518765544	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015193649116810879	0.0	0.0	0.0	0.003669568450852168	0.0	0.0	0.0	0.0	0.0	0.10077281239867518	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6071975139305185	0.00046125188492356697	0.016770444999822092	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.544925703065823e-05	0.0	0.02473661184330866	0.0	0.0	0.0	0.0	0.0002913644566433735	0.0	0.0	0.0	0.001401596340454406	0.0002949726852086179	0.0	0.0	0.0	0.0	0.00023794262816352596	0.0	0.007255846958989974	0.0	0.013944901347523027	0.0	0.0	0.0009088726841562165	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.018285700539933e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0005532617133372648	0.0	0.0	0.0	0.008294916557208714	0.021913774362433535	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0013290308548645174	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015266214602400775	0.0	0.000517179427684835	0.0	0.0	0.023136763388908403	0.0	0.041784890442654474	0.0	0.0	0.0	0.0	0.0	0.0	0.002661770166865535	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009855776097390098	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00030569714233309026	0.015609798144668917	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0014847860545975085	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0038097882220403624	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LCC11311001	0.0008812471390275552	0.0	5.5203180264229935e-05	0.0	0.0	0.022473505228622827	0.0	7.804587554598026e-05	0.0006640411593309047	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00012172752090932853	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0033262170322549867	0.0	0.0003157902435442061	0.0	0.00047709173215657166	0.0	0.0	0.0	0.0001268370711697207	0.0	0.010441916987040481	0.0	0.0	2.3243444321779518e-05	0.0	0.0	0.0	0.0	0.08200317212902641	0.2549765767195466	1.9536515701497484e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009604652055156293	0.0	0.0	0.0	0.0	0.001907465243286225	0.0	0.0	0.0	0.03297833981494813	0.0	0.0	0.0	2.8152620062155515e-05	0.0	0.02219438352224143	0.0	3.4464417442641666e-05	0.0	0.013215901842133134	0.0	0.003670360270381371	0.005684625132835783	0.0	0.00021550279627651774	0.00023363669033790824	0.0024543874956681542	0.011686342943595879	0.0	0.0	0.0	0.0487643454380583	0.0	0.0	0.0	0.007940942415468756	0.0	0.0	0.0009336450760115712	0.0	0.0	0.0	0.0	0.0001178202177690303	0.00012142695912930583	0.0	0.0	0.0	0.060740930873896426	0.00040746158645123325	0.0002876376234820474	0.0	0.007848870323521696	0.03165707022996684	0.0009111029425098436	0.0014651384903523175	0.0003723960454485462	0.0	0.0	4.318070906330938e-05	0.0	0.0	0.0	0.004291320907908972	0.0	0.0	0.0	0.14684356530791706	0.0	9.417602440719611e-06	0.0	0.0034318144043030832	6.492134448497541e-05	0.0	0.03920167184484521	0.00104294937667995	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.472096996495924e-05	6.752621324517636e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00771311658621129	0.0	0.0	0.0	0.0	0.0	0.0	0.001471550474992807	0.013434710817989907	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00593569440641503	0.0	0.0	0.0	0.0	9.287359002711793e-05	0.013270604086097327	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.022889081983134683	0.0	0.0	0.0969353819223511	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0017347424070329842	0.0
LCC11411001	0.0	0.0	9.080572674663273e-05	0.0	0.0	0.7252662557266395	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002139838986787256	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0020995261305185716	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00014078959651411764	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009663989288996247	0.0	0.19727625575819774	0.0	0.0	0.0	0.0	0.001856325591059258	0.0	0.0	0.0	9.78299365510237e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006177639822749663	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00020930109214246427	0.0	0.008710121957588227	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00011218375658608594	3.43066478852187e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0456694779454573	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0007272602151098081	0.0004464954232183109	0.0	0.0	0.0	0.001207451485360783	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LCC11431001	0.0	0.0	0.0	0.0	0.0	0.6928927536092327	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.216760899065909e-05	0.0	0.0	0.0	0.0	0.0	0.15607230492278398	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006164802029710413	0.0	0.014975473697229178	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.9088717680052e-05	0.0	0.0	0.0	0.0	0.0049645413546776295	0.0	1.394252330181634e-05	0.0	0.0	0.0	0.0	0.002763127261835872	0.0	0.0	0.0	9.07768603463697e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003680124010218766	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0025959172881370885	0.0068698523627210625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0008133807298880849	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0009181001135362729	0.0	0.0	0.0	0.00031355631540635727	0.007305079762768468	0.0	0.00037654843507212474	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008317567749880359	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09060995129044071	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00021094335614189668	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LCC10911001	0.0	0.0	6.945607143471977e-05	0.0	0.0	0.636954102806844	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001255009095639573	0.0	0.0	0.0	0.0	0.0	0.0	0.014028291208414227	0.0	0.0	0.0	0.003811048992788142	0.0	0.0	0.0	0.0	0.0	0.173193372761418	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0026023439447716928	0.022329138770124955	0.0	0.0	1.0446644890588182e-05	0.0	0.0	0.0	0.0	1.3128891551684108e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0011389666348279258	0.0	0.0032311190304835894	0.0	0.0	0.0	0.0	0.00040445456231804765	0.0	0.0020486717655705112	0.0	0.0	4.3480630085149736e-05	0.0	0.0	0.0	0.0	0.0014914703144468335	0.0	2.3999049072972203e-05	0.0	0.003783803013546472	0.0	0.00043367693383631527	0.019096749201749266	0.0	0.0001713814445564074	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.9291768297908506e-06	0.0	0.0	0.0	0.00016686397649561275	0.0	0.0	0.0	0.0	0.0	0.00011590128993476892	0.0	0.0	0.0	0.002110222267898842	0.017388722762138074	0.0	0.0	0.0	0.0010033014221271788	0.002497312812358209	0.0	0.0	0.0	0.00015147635091352998	0.0025111475582943943	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0009955370238976865	0.0028821446227871804	0.0	0.010428857360098949	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002863792408790201	0.0	0.0	0.0	0.0	0.0	0.0	0.0030652432501262756	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0673982235621534	0.0	0.0002994234299045642	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.171480546511844e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0010395823374904378	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LCC11231001	0.0	0.0	0.0	0.0	0.0	0.5200947986305041	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00020004189065417867	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00012725387538611534	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3953701816236193	0.0	0.0	0.0011895383898209717	0.0	0.0007167667143109448	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005015564820981531	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0024013036563812957	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002262736100492706	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07434459748728162	0.0	0.00030847300555832065	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.20629545245957e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LCC10931001	0.0	0.0	0.00082702488731373	0.0	0.0	0.27653868615841776	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001941701901716846	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005653755516710396	0.0	0.0	0.0	0.0013166540472724325	0.0	0.0	0.0	0.0	0.0	0.010099752433007531	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00040125169711251863	0.0	0.001370801507521342	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.286386517782834e-05	0.0005239592502828712	0.0	0.21141840823481778	0.0	0.00019967501515077754	0.004575410347169293	0.0	0.002384389917762918	0.0	0.0	0.0	0.008442199587938827	0.0	0.0	0.0	0.0	0.0	0.0020996403347534097	0.0	0.0	0.0	0.0015314423091839994	0.0	0.0	0.0024761703633234514	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0003308900251070043	0.0	0.0	0.0	0.0	0.0	0.0	0.00010248983233804313	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004387946034699414	0.0006196431171922172	0.0	0.0	0.0	0.0	0.0002621297567317749	0.0	0.0	0.0	0.0	1.8316054021348052e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0005065439858035567	0.0	0.0	0.0	0.003919935823749516	0.0	0.0	0.0	0.035418544354126384	0.2332429374346615	0.0	0.0006891039996556958	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03875176592283136	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14434972253179912	0.0	0.004962149323882382	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002311626140311982	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LCC10941001	0.0	0.0	0.0	0.0	0.0	0.098110057451657	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.222800802140635e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00010426705245475909	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10252019599139184	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.08890401783369e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002293619597503622	0.0	0.2643742226290682	0.0	7.858362409274111e-05	0.012785363972513366	0.0	0.007743361983772672	0.0	0.0	0.0	0.04084201778213246	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.6033466657158633e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0006539690863522857	0.0	0.0	0.0	0.0	0.0	0.0	0.006669641344339641	0.0	0.0	0.0	0.0	0.0	0.0	0.014389875464761441	0.0	0.0	0.0	0.0005021685246902074	0.0	0.0	0.002544320525097053	0.0	0.0	0.0	0.0	0.0	0.0	0.0009910481113224545	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23376085380404796	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2115340826761059	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LCC11421001	0.0	0.0	0.0	0.0	0.0	0.31087640657622756	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0003657559397240626	0.00450316948376276	0.0	3.840036318922988e-05	0.0	0.00018077246691954052	0.0	0.0	0.0	0.0	0.0	0.11319574840803923	0.0	0.0	0.0	0.0	7.88059672760724e-05	0.0	0.0	0.13145517123554118	0.0	0.0817497611758091	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0019534054204067733	0.0	0.011869020872953549	0.0	0.0	0.0	0.0	0.00041227752854861423	0.0	0.0	0.0014543009609916458	0.0	0.002058179257306895	0.0	0.0	6.336561236447396e-05	0.0	0.0006459883551650589	0.0	0.0	0.0	0.005636230852957289	0.0	0.0	0.007791062721528987	0.0	0.0	0.017251287966228532	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0011202278274498212	0.0	0.0	0.0	0.00012783410722263638	0.0	0.0	0.0	3.4490143438891695e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.02877921736249862	0.0	0.0	0.0	0.0	0.003080150280773828	0.0	0.0	0.0	0.0	0.0005548501563686832	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0010746085970291938	0.0	0.0019332527493857935	0.0	0.0012799452649444579	0.0	0.0192962326336112	0.03172190837974129	0.0	1.0226728577809554e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12472006837069363	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09338316624329346	0.0	0.0001261296524596671	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0011785803375702726	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
