Sample_Name	k__Archaea	k__Bacteria	k__Eukaryota
LCC11561001	0.0	1.0	0.0
LCC10981001	0.0	1.0	0.0
LCC11311001	0.0008812474038968434	0.9973840096676728	0.0017347429284304062
LCC11411001	0.0	1.0	0.0
LCC11431001	0.0	1.0	0.0
LCC10911001	0.0	1.0	0.0
LCC11231001	0.0	1.0	0.0
LCC10931001	0.0	1.0	0.0
LCC10941001	0.0	1.0	0.0
LCC11421001	0.0	1.0	0.0
LCC10861001	0.0	1.0	0.0
LCC11021001	0.0	1.0	0.0
LCC11471001	0.0	1.0	0.0
LCC11341001	0.0	1.0	0.0
LCC11261001	0.0	1.0	0.0
LCC11551001	0.0	1.0	0.0
LCC10871001	0.0	1.0	0.0
LCC11371001	0.0	1.0	0.0
LCC11291001	0.0	1.0	0.0
LCC11091001	0.0	1.0	0.0
LCC11441001	0.0	1.0	0.0
LCC11301001	0.0	1.0	0.0
LCC11011001	0.0	1.0	0.0
LCC11081001	0.0	1.0	0.0
LCC11541001	0.0	1.0	0.0
LCC11591001	0.0	1.0	0.0
LCC10881001	0.0	1.0	0.0
LCC10851001	0.0	1.0	0.0
LCC11401001	0.0	1.0	0.0
LCC11171001	0.0	1.0	0.0
LCC11241001	0.0	1.0	0.0
LCC11121001	0.0	1.0	0.0
LCC11501001	0.0	1.0	0.0
LCC10991001	0.0	1.0	0.0
LCC11381001	0.0	1.0	0.0
LCC11511001	0.0	1.0	0.0
LCC11251001	0.0	1.0	0.0
LCC11161001	0.0	1.0	0.0
LCC10821001	0.0	1.0	0.0
LCC11141001	0.0	1.0	0.0
LCC11031001	0.0	0.9950654309464508	0.0049345690535491345
LCC11391001	0.0	1.0	0.0
LCC11481001	0.0	1.0	0.0
LCC11321001	0.0	1.0	0.0
LCC11451001	0.0	1.0	0.0
LCC11211001	0.0	1.0	0.0
LCC11521001	0.0	1.0	0.0
LCC11061001	0.0	1.0	0.0
LCC11351001	0.0	1.0	0.0
LCC11051001	0.0	1.0	0.0
LCC11361001	0.0	1.0	0.0
LCC10831001	0.0	1.0	0.0
LCC11331001	0.0	1.0	0.0
LCC10961001	0.0	1.0	0.0
LCC11271001	0.0	1.0	0.0
LCC10971001	0.0	1.0	0.0
LCC11191001	0.0	1.0	0.0
LCC11531001	0.0	1.0	0.0
LCC11221001	0.0	1.0	0.0
LCC11201001	0.0	1.0	0.0
LCC11281001	0.0	1.0	0.0
LCC11151001	0.0	1.0	0.0
LCC11041001	0.0	1.0	0.0
LCC11071001	0.0	0.9991310866547783	0.0008689133452216179
LCC11461001	0.0	1.0	0.0
LCC11131001	0.0	1.0	0.0
LCC10891001	0.0	0.9985847509161613	0.0014152490838387549
LCC10921001	0.0	1.0	0.0
LCC11001001	0.0	1.0	0.0
LCC10951001	0.0	1.0	0.0
LCC11571001	0.0	1.0	0.0
LCC10811001	0.0	1.0	0.0
LCC10901001	0.0	1.0	0.0
LCC11181001	0.0	1.0	0.0
LCC10841001	0.0	1.0	0.0
LCC11491001	0.0	1.0	0.0
LCC11101001	0.0	1.0	0.0
LCC10281001	0.0	1.0	0.0
LCC10191001	0.0	1.0	0.0
LCC10161001	0.0	1.0	0.0
LCC10201001	0.0	1.0	0.0
LCC10401001	0.0	1.0	0.0
LCC10471001	0.0	1.0	0.0
LCC10741001	0.0	1.0	0.0
LCC10561001	0.0	1.0	0.0
LCC10461001	0.0	1.0	0.0
