Sample_Name	HQ read depth (million reads)
LCC20011001	44.80915
LCC20031001	43.314216
LCC20021001	24.618289
LCC20041001	41.703008
LCC20051001	43.009796
LCC20071001	46.372553
LCC20061001	33.71057
LCC20081001	45.829668
LCC20101001	34.633797
LCC20131001	47.131257
LCC20141001	45.138255
LCC20151001	44.977575
LCC20111001	40.568257
LCC20161001	47.79062
LCC20181001	46.607631
LCC20121001	44.993858
LCC20211001	30.923162
LCC20221001	45.274211
LCC20171001	46.105514
LCC20261001	45.11252
LCC20191001	23.385667
LCC20201001	47.688279
LCC20241001	44.392069
LCC20251001	46.656558
LCC20281001	46.834096
LCC20231001	32.812225
LCC20291001	35.776815
LCC20271001	45.928668
LCC20321001	42.717606
LCC20301001	43.138317
LCC20331001	41.823371
LCC20341001	46.199021
LCC20351001	45.945625
LCC20391001	46.591054
LCC20411001	43.043823
LCC20361001	46.68065
LCC20381001	45.81045
LCC20401001	42.574068
LCC20451001	33.245804
LCC20421001	40.581341
LCC20431001	33.365547
LCC20491001	37.669532
LCC20511001	41.118265
LCC20371001	46.166121
LCC20441001	44.745496
LCC20461001	43.358585
LCC20471001	36.30379
LCC20481001	45.526768
LCC20501001	43.678382
LCC20531001	43.138505
LCC20551001	31.367367
LCC20541001	39.765108
LCC20561001	39.441042
LCC20581001	38.822488
LCC20571001	39.292573
LCC20591001	44.606225
LCC20611001	44.320288
LCC20521001	28.844974
LCC20621001	37.163549
LCC20631001	43.211533
LCC20641001	42.536982
LCC20601001	43.33629
LCC20651001	40.861874
LCC20681001	46.05386
LCC20701001	45.244327
LCC20661001	45.994519
LCC20711001	42.694726
LCC20671001	7.563801
LCC20721001	45.450123
LCC20691001	26.674071
LCC20741001	40.099569
LCC20751001	44.361161
LCC20731001	40.162456
LCC30721001	18.744668
LCC10611001	45.495266
LCC10301001	46.189518
LCC10591001	47.597823
LCC10241001	43.950892
LCC10621001	47.266522
LCC10581001	45.769523
LCC10671001	46.56397
LCC10411001	43.264541
LCC10521001	45.13181
LCC10781001	43.70648
LCC10291001	46.829247
LCC10761001	46.384338
LCC10141001	44.249265
LCC10031001	46.596037
LCC10051001	36.805561
LCC10351001	47.079653
LCC10221001	44.247533
LCC10571001	41.518231
LCC10061001	39.409352
LCC10601001	18.171559
LCC10721001	45.679246
LCC10171001	46.194625
LCC10151001	32.448145
LCC10251001	34.222819
LCC10481001	46.244932
LCC10321001	46.295477
LCC10081001	40.224638
LCC10261001	46.37598
LCC10091001	44.264223
LCC10791001	46.859595
LCC10681001	44.355788
LCC10641001	45.949915
LCC10651001	43.009312
LCC10431001	44.715829
LCC10391001	46.432234
LCC10501001	37.087598
LCC10011001	28.272701
LCC10041001	17.944611
LCC10381001	43.801992
LCC10441001	36.316694
LCC10551001	44.805812
LCC10701001	29.272462
LCC10541001	44.492877
LCC10751001	45.987752
LCC10101001	47.366366
LCC10661001	12.830302
LCC10181001	45.790167
LCC10021001	43.489939
LCC10121001	37.605406
LCC10071001	45.526737
LCC10631001	44.376153
LCC10211001	46.239912
LCC10271001	45.776565
LCC10231001	47.395417
LCC10731001	42.773018
LCC10371001	46.173219
LCC10451001	38.235309
LCC10111001	44.480675
LCC10531001	44.357091
LCC10491001	43.519985
LCC10801001	45.755068
LCC10341001	44.547746
LCC10311001	42.382477
LCC10421001	45.905157
LCC10511001	39.33827
LCC10711001	33.722169
LCC10331001	45.535177
LCC10361001	41.056873
LCC10771001	44.047955
LCC10691001	47.729313
LCC10461001	5.787083
LCC10561001	45.528965
LCC10741001	44.286865
LCC10471001	39.221482
LCC10401001	44.453574
LCC10201001	47.652341
LCC10161001	35.611709
LCC10191001	45.898072
LCC10281001	44.920574
LCC11101001	41.815968
LCC11491001	37.107628
LCC10841001	8.917078
LCC11181001	44.788121
LCC10901001	44.426271
LCC10811001	45.016442
LCC11571001	44.305898
LCC10951001	36.045562
LCC11001001	41.322984
LCC10921001	44.291108
LCC10891001	45.488525
LCC11131001	42.394686
LCC11461001	43.146581
LCC11071001	44.657568
LCC11041001	43.632932
LCC11151001	47.130609
LCC11281001	47.455186
LCC11201001	46.057401
LCC11221001	37.467332
LCC11531001	12.04229
LCC11191001	45.216771
LCC10971001	39.131247
LCC11271001	25.531982
LCC10961001	43.131316
LCC11331001	40.462275
LCC10831001	45.080057
LCC11361001	44.97568
LCC11051001	12.376204
LCC11351001	40.87301
LCC11061001	39.592483
LCC11521001	40.181328
LCC11211001	38.351486
LCC11451001	26.517128
LCC11321001	44.527294
LCC11481001	40.274874
LCC11391001	40.664038
LCC11031001	40.58869
LCC11141001	36.57809
LCC10821001	42.084567
LCC11161001	38.580359
LCC11251001	40.271335
LCC11511001	28.928419
LCC11381001	40.357017
LCC10991001	39.505816
LCC11501001	15.806698
LCC11121001	45.057482
LCC11241001	45.684255
LCC11171001	8.51992
LCC11401001	44.939728
LCC10851001	43.616426
LCC10881001	44.676839
LCC11591001	44.395704
LCC11541001	43.2123
LCC11081001	44.654046
LCC11011001	13.467549
LCC11301001	14.793431
LCC11441001	45.461219
LCC11091001	44.443027
LCC11291001	31.233852
LCC11371001	46.197336
LCC10871001	44.570408
LCC11551001	44.494643
LCC11261001	45.161946
LCC11341001	43.776503
LCC11471001	45.830041
LCC11021001	43.223136
LCC10861001	46.167616
LCC11421001	44.396962
LCC10941001	19.729427
LCC10931001	41.602434
LCC11231001	41.738512
LCC10911001	45.698179
LCC11431001	46.913286
LCC11411001	41.635311
LCC11311001	42.965121
LCC10981001	41.509879
LCC11561001	32.366514
